product_link,review_text,label
https://example.com/macbook,"Amazing laptop! The performance is incredible. Highly recommend!",unknown
https://example.com/macbook,"Best laptop I've ever owned. Battery life is outstanding.",unknown
https://example.com/macbook,"Not worth the price. Overheating issues.",unknown
https://example.com/sony-headphones,"Perfect sound quality! Noise cancellation is top notch.",unknown
https://example.com/sony-headphones,"These headphones are amazing! Best purchase ever!",unknown
https://example.com/galaxy-s24,"Great phone with awesome camera features!",unknown
https://example.com/galaxy-s24,"Not impressed. Battery drains quickly.",unknown
https://example.com/apple-watch,"Love this watch! Health features are fantastic.",unknown
https://example.com/apple-watch,"Good but expensive for what you get.",unknown
https://example.com/ipad-pro,"Perfect for work and entertainment!",unknown"https://example.com/macbook5","This product is a game-changer! Industry leading innovation!","unknown"
"https://example.com/macbook5","This product changed my life completely! I'm a new person now!","unknown"
"https://example.com/macbook5","This product is a game-changer! Industry leading innovation!","unknown"
"https://example.com/macbook5","This product changed my life completely! I'm a new person now!","unknown"
"https://example.com/macbook5","AMAZING!!! PERFECT!!! EVERYONE MUST BUY THIS!!! BEST PRODUCT 2024!!!","unknown"
"https://example.com/macbook5","Waste of money, completely useless.","unknown"
"https://example.com/macbook5","Works perfectly as described.","unknown"
"https://example.com/macbook5","Superb quality and performance.","unknown"
"https://example.com/macbook5","Superb quality and performance.","unknown"
"https://example.com/macbook5","Excellent product! Highly recommend!","unknown"
"https://example.com/apple-watch76","Nice design but a bit expensive for what you get.","unknown"
"https://example.com/apple-watch76","Best product ever! Highly recommend to everyone!","unknown"
"https://example.com/apple-watch76","Good build quality. Satisfied with the purchase.","unknown"
"https://example.com/apple-watch76","Brilliant product! Very impressive!","unknown"
"https://example.com/apple-watch76","Brilliant! Works perfectly!","unknown"
"https://example.com/apple-watch76","Good quality. Shipping was fast.","unknown"
"https://example.com/apple-watch76","Works great after initial setup. Recommended.","unknown"
"https://example.com/apple-watch76","Works fine but had to get used to it. Takes time.","unknown"
"https://example.com/apple-watch76","Amazing product! Best purchase ever! Highly recommended!","unknown"
"https://example.com/apple-watch76","Outstanding! Top quality!","unknown"
"https://example.com/apple-watch7689","Good performance. Satisfied customer.","unknown"
"https://example.com/apple-watch7689","Good value for money. Would buy again.","unknown"
"https://example.com/apple-watch7689","Works fine but had to get used to it. Takes time.","unknown"
"https://example.com/apple-watch7689","Nice design but a bit expensive for what you get.","unknown"
"https://example.com/apple-watch7689","Good build quality. Satisfied with the purchase.","unknown"
"https://example.com/apple-watch7689","Works well most of the time. Occasional glitches.","unknown"
"https://example.com/apple-watch7689","Decent quality for the price. Would recommend.","unknown"
"https://example.com/apple-watch7689","Average product. Nothing special but gets the job done.","unknown"
"https://example.com/apple-watch7689","Nice features but setup was complicated.","unknown"
"https://example.com/apple-watch7689","Solid product. Does what it promises.","unknown"
"https://example.com/apple-watch7689rtret","Love it! Will buy again! Excellent service!","unknown"
"https://example.com/apple-watch7689rtret","Decent product. Good customer service.","unknown"
"https://example.com/apple-watch7689rtret","Good build quality. Satisfied with the purchase.","unknown"
"https://example.com/apple-watch7689rtret","Nice design but a bit expensive for what you get.","unknown"
"https://example.com/apple-watch7689rtret","Good quality. Shipping was fast.","unknown"
"https://example.com/apple-watch7689rtret","Excellent product! Fast delivery!","unknown"
"https://example.com/apple-watch7689rtret","Good product but had some minor issues. Overall satisfied.","unknown"
"https://example.com/apple-watch7689rtret","Works well most of the time. Occasional glitches.","unknown"
"https://example.com/apple-watch7689rtret","Works great after initial setup. Recommended.","unknown"
"https://example.com/apple-watch7689rtret","Fantastic value! Very pleased!","unknown"
"https://example.com/galaxy-s24787","Amazing product! Best purchase ever! Highly recommended!","unknown"
"https://example.com/galaxy-s24787","Outstanding! Top quality!","unknown"
"https://example.com/galaxy-s24787","Brilliant! Works perfectly!","unknown"
"https://example.com/galaxy-s24787","Awesome product! Highly satisfied!","unknown"
"https://example.com/galaxy-s24787","Fantastic! Couldn't be happier!","unknown"
"https://example.com/galaxy-s24787","Perfect transaction! Great seller!","unknown"
"https://example.com/galaxy-s24787","Brilliant product! Very impressive!","unknown"
"https://example.com/galaxy-s24787","Great quality  fast shipping  awesome seller!","unknown"
"https://example.com/galaxy-s24787","Amazing quality! Very happy!","unknown"
"https://example.com/galaxy-s24787","Perfect condition! Great value!","unknown"
